ARUNDA LIVE DATA ENTRYPOINT FORENSIC v0.2
====================================================================================================
Project Directory : C:\Users\ASUS\ArundaTrader
Started UTC       : 2026-08-26T23:59:15.793856+00:00
Finished UTC      : 2026-08-26T23:59:24.136959+00:00
Mode              : READ ONLY
Database          : NOT USED
Network           : NOT USED
Production Run    : NOT PERFORMED
File Modification : NOT PERFORMED
====================================================================================================
Python Files Scanned : 853
Syntax PASS          : 802
Syntax FAIL          : 51
====================================================================================================
LIVE DATA ENTRYPOINT CANDIDATES
====================================================================================================
.venv\Lib\site-packages\pip\_internal\build_env\installer.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\build_env\venv.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\cli\req_command.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\cli\spinners.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_internal\index\collector.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\metadata\base.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\models\index.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\models\link.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\models\search_scope.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\network\auth.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\network\download.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\network\session.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_internal\network\utils.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\operations\prepare.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\req\req_file.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\utils\logging.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\utils\misc.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\utils\pylock.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\utils\subprocess.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_internal\utils\urls.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_internal\vcs\git.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\__init__.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\distlib\compat.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\distlib\resources.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\distlib\scripts.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\distlib\util.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\distro\distro.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\idna\cli.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\idna\codec.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\msgpack\__init__.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\msgpack\exceptions.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\msgpack\fallback.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\_tokenizer.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\direct_url.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\errors.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\licenses\_spdx.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\pylock.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\specifiers.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\packaging\tags.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pkg_resources\__init__.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\platformdirs\android.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\platformdirs\unix.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\filter.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\filters\__init__.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\formatter.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\formatters\_mapping.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\lexer.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\pygments\lexers\_mapping.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\_types.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\adapters.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\api.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\compat.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\exceptions.py | LIVE_DATA_ENTRYPOINT_CANDIDATE | HIGH
.venv\Lib\site-packages\pip\_vendor\requests\models.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\requests\sessions.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
.venv\Lib\site-packages\pip\_vendor\requests\utils.py | LIVE_DATA_SQL_WRITE_CANDIDATE | CRITICAL
